2026/09/25 01:29:07.193, 2, 2070 MHz, 3996 MHz, 398.33 W, 37, 18 %, 0x0000000000000000
2026/09/25 01:29:07.193, 3, 2070 MHz, 3996 MHz, 411.31 W, 36, 98 %, 0x0000000000000000
2026/09/25 01:29:07.393, 0, 2070 MHz, 3996 MHz, 404.76 W, 37, 93 %, 0x0000000000000000
2026/09/25 01:29:07.393, 1, 2070 MHz, 3996 MHz, 401.81 W, 36, 94 %, 0x0000000000000000
2026/09/25 01:29:07.393, 2, 2070 MHz, 3996 MHz, 392.77 W, 37, 20 %, 0x0000000000000000
2026/09/25 01:29:07.393, 3, 2070 MHz, 3996 MHz, 408.30 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:29:07.593, 0, 2070 MHz, 3996 MHz, 403.80 W, 37, 92 %, 0x0000000000000000
2026/09/25 01:29:07.593, 1, 2070 MHz, 3996 MHz, 402.12 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:29:07.593, 2, 2070 MHz, 3996 MHz, 394.32 W, 36, 57 %, 0x0000000000000000
2026/09/25 01:29:07.594, 3, 2070 MHz, 3996 MHz, 409.37 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:29:07.794, 0, 2070 MHz, 3996 MHz, 404.36 W, 37, 91 %, 0x0000000000000000
2026/09/25 01:29:07.794, 1, 2070 MHz, 3996 MHz, 405.04 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:29:07.794, 2, 2070 MHz, 3996 MHz, 394.61 W, 37, 77 %, 0x0000000000000000
2026/09/25 01:29:07.794, 3, 2070 MHz, 3996 MHz, 409.11 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:29:07.994, 0, 2070 MHz, 3996 MHz, 404.97 W, 37, 92 %, 0x0000000000000000
2026/09/25 01:29:07.994, 1, 2070 MHz, 3996 MHz, 408.80 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:29:07.994, 2, 2070 MHz, 3996 MHz, 397.80 W, 37, 74 %, 0x0000000000000000
2026/09/25 01:29:07.994, 3, 2070 MHz, 3996 MHz, 408.90 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:29:08.194, 0, 2070 MHz, 3996 MHz, 416.14 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:29:08.194, 1, 2070 MHz, 3996 MHz, 421.02 W, 37, 100 %, 0x0000000000000000
