schema_version,provider,provider_detail,operation,m,n,activation_dtype,weight_dtype,weight_mode,eps,cold_compile_ms,cold_compile_reused,median_us,p10_us,p90_us,logical_bytes,logical_gbps,peak_bw_gbps,peak_bw_pct,rotation_buffers,rotation_working_set_bytes,l2_target_bytes,l2_eviction_between_calls,timed_samples
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,256,4096,float32,float32,same,1e-06,0.06755,False,6.524,6.2504,6.7592,8404992,1288.318852,4312.724204,29.872507,4,33619968,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,256,4096,float32,float32,same,1e-06,,False,9.32,8.9816,9.6072,8404992,901.823203,4312.724204,20.910755,4,33619968,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,256,4096,float32,float32,same,1e-06,44514.364902,False,16.18,15.767201,17.8928,12616704,779.771557,4312.724204,18.080719,4,50466816,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,256,4096,float32,float32,same,1e-06,2.18873,False,16.308,16.144,19.0128,12616704,773.651199,4312.724204,17.938805,4,50466816,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,256,4096,float32,float32,same,1e-06,,False,50.4,47.592799,53.593601,12616704,250.331428,4312.724204,5.804485,4,50466816,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,512,4096,float16,float16,same,1e-06,6147.441572,False,6.084,5.72,6.2672,8396800,1380.144643,4312.724204,32.00169,4,33587200,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,float16,float16,same,1e-06,0.069718,False,6.444,6.2016,6.7184,8396800,1303.041554,4312.724204,30.213886,4,33587200,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,512,4096,float16,float16,same,1e-06,,False,10.656,10.2776,11.0176,8396800,787.987979,4312.724204,18.271235,4,33587200,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_bwd_tuned (CuTe, autotuned)",bwd,512,4096,float16,float16,same,1e-06,43056.838345,False,22.795999,22.472,25.027201,12601344,552.787521,4312.724204,12.817595,4,50405376,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_bwd (CuTe),bwd,512,4096,float16,float16,same,1e-06,2.190278,False,22.444,21.5544,25.017601,12601344,561.457149,4312.724204,13.018619,4,50405376,188743680,True,12
2,torch,torch.nn.functional.rms_norm autograd,bwd,512,4096,float16,float16,same,1e-06,,False,48.332,46.027198,50.0576,12601344,260.724654,4312.724204,6.045475,4,50405376,188743680,True,12
2,quack_tuned,"quack.rmsnorm.rmsnorm_fwd_tuned (CuTe, autotuned)",fwd,512,4096,float16,float32,float32,1e-06,6701.135758,False,6.0,5.76,6.4608,8404992,1400.832042,4312.724204,32.481373,4,33619968,188743680,True,12
2,quack,quack.rmsnorm.rmsnorm_fwd (CuTe),fwd,512,4096,float16,float32,float32,1e-06,0.068757,False,6.452,6.1864,6.6328,8404992,1302.695598,4312.724204,30.205864,4,33619968,188743680,True,12
2,torch,torch.nn.functional.rms_norm,fwd,512,4096,float16,float32,float32,1e-06,,False,51.535999,50.645601,52.177601,8404992,163.089726,4312.724204,3.781594,4,33619968,188743680,True,12
