2026/09/25 01:17:37.377, 1, 2070 MHz, 3996 MHz, 428.77 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:17:37.377, 2, 2070 MHz, 3996 MHz, 418.91 W, 37, 84 %, 0x0000000000000000
2026/09/25 01:17:37.377, 3, 2070 MHz, 3996 MHz, 427.73 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:37.577, 0, 2070 MHz, 3996 MHz, 434.15 W, 36, 72 %, 0x0000000000000000
2026/09/25 01:17:37.577, 1, 2070 MHz, 3996 MHz, 423.58 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:17:37.577, 2, 2070 MHz, 3996 MHz, 418.03 W, 37, 22 %, 0x0000000000000000
2026/09/25 01:17:37.577, 3, 2070 MHz, 3996 MHz, 426.36 W, 37, 70 %, 0x0000000000000000
2026/09/25 01:17:37.777, 0, 2070 MHz, 3996 MHz, 428.18 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:17:37.777, 1, 2070 MHz, 3996 MHz, 419.53 W, 36, 96 %, 0x0000000000000000
2026/09/25 01:17:37.777, 2, 2070 MHz, 3996 MHz, 413.43 W, 36, 23 %, 0x0000000000000000
2026/09/25 01:17:37.777, 3, 2070 MHz, 3996 MHz, 421.67 W, 37, 95 %, 0x0000000000000000
2026/09/25 01:17:37.977, 0, 2070 MHz, 3996 MHz, 425.58 W, 36, 86 %, 0x0000000000000000
2026/09/25 01:17:37.978, 1, 2070 MHz, 3996 MHz, 415.55 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:37.978, 2, 2070 MHz, 3996 MHz, 408.10 W, 36, 68 %, 0x0000000000000000
2026/09/25 01:17:37.978, 3, 2070 MHz, 3996 MHz, 415.58 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:38.178, 0, 2070 MHz, 3996 MHz, 416.98 W, 36, 86 %, 0x0000000000000000
2026/09/25 01:17:38.178, 1, 2070 MHz, 3996 MHz, 409.05 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:38.178, 2, 2070 MHz, 3996 MHz, 401.01 W, 36, 60 %, 0x0000000000000000
2026/09/25 01:17:38.178, 3, 2070 MHz, 3996 MHz, 407.78 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:38.378, 0, 2070 MHz, 3996 MHz, 411.88 W, 36, 79 %, 0x0000000000000000
2026/09/25 01:17:38.378, 1, 2070 MHz, 3996 MHz, 406.01 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:38.378, 2, 2070 MHz, 3996 MHz, 395.85 W, 36, 79 %, 0x0000000000000000
2026/09/25 01:17:38.378, 3, 2070 MHz, 3996 MHz, 406.35 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:38.578, 0, 2070 MHz, 3996 MHz, 415.05 W, 36, 86 %, 0x0000000000000000
2026/09/25 01:17:38.578, 1, 2070 MHz, 3996 MHz, 406.80 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:38.578, 2, 2070 MHz, 3996 MHz, 393.86 W, 36, 65 %, 0x0000000000000000
2026/09/25 01:17:38.578, 3, 2070 MHz, 3996 MHz, 408.63 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:38.778, 0, 2070 MHz, 3996 MHz, 418.12 W, 36, 90 %, 0x0000000000000000
2026/09/25 01:17:38.778, 1, 2070 MHz, 3996 MHz, 407.64 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:38.778, 2, 2070 MHz, 3996 MHz, 395.07 W, 36, 68 %, 0x0000000000000000
2026/09/25 01:17:38.778, 3, 2070 MHz, 3996 MHz, 407.80 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:38.978, 0, 2070 MHz, 3996 MHz, 417.68 W, 37, 90 %, 0x0000000000000000
2026/09/25 01:17:38.978, 1, 2070 MHz, 3996 MHz, 412.71 W, 36, 100 %, 0x0000000000000000
2026/09/25 01:17:38.978, 2, 2070 MHz, 3996 MHz, 395.70 W, 36, 78 %, 0x0000000000000000
2026/09/25 01:17:38.978, 3, 2070 MHz, 3996 MHz, 403.98 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:17:39.178, 0, 2070 MHz, 3996 MHz, 411.63 W, 37, 71 %, 0x0000000000000000
2026/09/25 01:17:39.178, 1, 2070 MHz, 3996 MHz, 401.38 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:17:39.178, 2, 2070 MHz, 3996 MHz, 389.40 W, 37, 18 %, 0x0000000000000000
2026/09/25 01:17:39.178, 3, 2070 MHz, 3996 MHz, 397.99 W, 37, 74 %, 0x0000000000000000
