2026/09/25 01:25:59.617, 2, 2070 MHz, 3996 MHz, 458.90 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:25:59.617, 3, 2070 MHz, 3996 MHz, 462.02 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:25:59.817, 0, 2070 MHz, 3996 MHz, 464.59 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:25:59.817, 1, 2070 MHz, 3996 MHz, 464.05 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:25:59.817, 2, 2070 MHz, 3996 MHz, 460.11 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:25:59.817, 3, 2070 MHz, 3996 MHz, 466.84 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:26:00.017, 0, 2070 MHz, 3996 MHz, 468.20 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:26:00.017, 1, 2070 MHz, 3996 MHz, 472.50 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:26:00.017, 2, 2070 MHz, 3996 MHz, 459.67 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:00.017, 3, 2070 MHz, 3996 MHz, 457.16 W, 37, 68 %, 0x0000000000000000
2026/09/25 01:26:00.217, 0, 2070 MHz, 3996 MHz, 455.65 W, 38, 66 %, 0x0000000000000000
2026/09/25 01:26:00.217, 1, 2070 MHz, 3996 MHz, 452.85 W, 38, 69 %, 0x0000000000000000
2026/09/25 01:26:00.217, 2, 2070 MHz, 3996 MHz, 455.43 W, 39, 75 %, 0x0000000000000000
2026/09/25 01:26:00.217, 3, 2070 MHz, 3996 MHz, 457.95 W, 38, 89 %, 0x0000000000000000
2026/09/25 01:26:00.417, 0, 2070 MHz, 3996 MHz, 465.64 W, 37, 89 %, 0x0000000000000000
2026/09/25 01:26:00.417, 1, 2070 MHz, 3996 MHz, 456.33 W, 37, 64 %, 0x0000000000000000
2026/09/25 01:26:00.417, 2, 2070 MHz, 3996 MHz, 460.30 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:26:00.417, 3, 2070 MHz, 3996 MHz, 464.29 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:26:00.618, 0, 2070 MHz, 3996 MHz, 472.04 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:26:00.618, 1, 2070 MHz, 3996 MHz, 462.05 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:00.618, 2, 2070 MHz, 3996 MHz, 466.33 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:00.618, 3, 2070 MHz, 3996 MHz, 469.01 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:00.818, 0, 2070 MHz, 3996 MHz, 477.38 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:00.818, 1, 2070 MHz, 3996 MHz, 466.02 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:00.818, 2, 2070 MHz, 3996 MHz, 470.44 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:00.818, 3, 2070 MHz, 3996 MHz, 471.95 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:01.018, 0, 2070 MHz, 3996 MHz, 484.77 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:26:01.018, 1, 2070 MHz, 3996 MHz, 469.32 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:01.018, 2, 2070 MHz, 3996 MHz, 476.59 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:01.018, 3, 2070 MHz, 3996 MHz, 483.10 W, 37, 100 %, 0x0000000000000000
2026/09/25 01:26:01.218, 0, 2070 MHz, 3996 MHz, 483.58 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:01.218, 1, 2070 MHz, 3996 MHz, 468.47 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:26:01.218, 2, 2070 MHz, 3996 MHz, 475.48 W, 38, 66 %, 0x0000000000000000
2026/09/25 01:26:01.218, 3, 2070 MHz, 3996 MHz, 476.44 W, 39, 94 %, 0x0000000000000000
2026/09/25 01:26:01.418, 0, 2070 MHz, 3996 MHz, 482.76 W, 38, 62 %, 0x0000000000000000
2026/09/25 01:26:01.418, 1, 2070 MHz, 3996 MHz, 474.97 W, 37, 38 %, 0x0000000000000000
2026/09/25 01:26:01.418, 2, 2070 MHz, 3996 MHz, 481.72 W, 38, 93 %, 0x0000000000000000
2026/09/25 01:26:01.418, 3, 2070 MHz, 3996 MHz, 472.67 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:01.618, 0, 2070 MHz, 3996 MHz, 475.22 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:26:01.618, 1, 2070 MHz, 3996 MHz, 467.58 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:26:01.618, 2, 2070 MHz, 3996 MHz, 473.42 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:26:01.618, 3, 2070 MHz, 3996 MHz, 464.23 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:26:01.819, 0, 2070 MHz, 3996 MHz, 465.99 W, 37, 93 %, 0x0000000000000000
2026/09/25 01:26:01.819, 1, 2070 MHz, 3996 MHz, 460.13 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:26:01.819, 2, 2070 MHz, 3996 MHz, 466.23 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:26:01.819, 3, 2070 MHz, 3996 MHz, 454.89 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:26:02.019, 0, 2070 MHz, 3996 MHz, 457.92 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:26:02.019, 1, 2070 MHz, 3996 MHz, 455.31 W, 37, 96 %, 0x0000000000000000
2026/09/25 01:26:02.019, 2, 2070 MHz, 3996 MHz, 459.24 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:26:02.019, 3, 2070 MHz, 3996 MHz, 448.20 W, 37, 98 %, 0x0000000000000000
