"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
4,6700,"s_mov_b32 s22, s17",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:481"
4,6704,"s_mov_b64 s[24:25], s[14:15]",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:481"
4,6708,"s_lshl_b32 s17, s16, 5",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
4,6712,"s_lshl_b64 s[14:15], s[6:7], 2",8,36,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:481"
4,6716,"s_waitcnt lgkmcnt(0)",8,3864,3864,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:481"
4,6720,"s_add_u32 s2, s2, s14",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:481"
4,6724,"s_addc_u32 s3, s3, s15",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:481"
4,6728,"s_load_dword s23, s[2:3], 0x0",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:481"
4,6736,"v_and_b32_e32 v48, 31, v0",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:475"
4,6740,"v_or_b32_e32 v1, s17, v48",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
4,6744,"s_movk_i32 s7, 0x80",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
4,6748,"v_and_b32_e32 v73, 32, v0",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
4,6752,"v_cmp_gt_i32_e64 s[2:3], s7, v1",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:478"
4,6760,"v_lshl_or_b32 v1, s22, 7, v48",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:482"
4,6768,"v_cmp_eq_u32_e64 s[18:19], 0, v73",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
4,6776,"v_add_u32_e32 v71, s17, v1",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:482"
4,6780,"s_waitcnt lgkmcnt(0)",8,2504,2504,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:484"
4,6784,"s_cmp_gt_i32 s23, -1",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:484"
4,6788,"s_mov_b64 s[14:15], -1",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:484"
4,6792,"s_cbranch_scc1 3",8,32,0,32,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:484"
4,6796,"s_andn2_b64 vcc, exec, s[14:15]",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:484"
4,6800,"s_cbranch_vccz 2074",0,0,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:484"
4,6804,"s_endpgm",8,2200,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:484"
4,6808,"s_load_dwordx2 s[20:21], s[0:1], 0x38",8,32,0,128,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:484"
4,6816,"s_load_dwordx2 s[14:15], s[0:1], 0x48",8,32,0,96,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:484"
4,6824,"s_mul_i32 s0, s6, 12",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:472"
4,6828,"s_sub_i32 s0, s22, s0",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:472"
4,6832,"s_xor_b64 s[26:27], s[18:19], -1",8,32,0,0,"/sgl-workspace/sglang/python/sglang/kernels/ops/attention/fla/fused_recurrent.py:476"
