2026/09/25 01:14:36.412, 2, 2070 MHz, 3996 MHz, 481.09 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:14:36.412, 3, 2070 MHz, 3996 MHz, 485.06 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:36.613, 0, 2070 MHz, 3996 MHz, 486.02 W, 38, 43 %, 0x0000000000000000
2026/09/25 01:14:36.613, 1, 2070 MHz, 3996 MHz, 466.41 W, 38, 75 %, 0x0000000000000000
2026/09/25 01:14:36.613, 2, 2070 MHz, 3996 MHz, 482.63 W, 39, 87 %, 0x0000000000000000
2026/09/25 01:14:36.613, 3, 2070 MHz, 3996 MHz, 474.47 W, 38, 100 %, 0x0000000000000000
2026/09/25 01:14:36.813, 0, 2070 MHz, 3996 MHz, 486.53 W, 38, 68 %, 0x0000000000000000
2026/09/25 01:14:36.813, 1, 2070 MHz, 3996 MHz, 473.64 W, 37, 94 %, 0x0000000000000000
2026/09/25 01:14:36.813, 2, 2070 MHz, 3996 MHz, 479.68 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:36.813, 3, 2070 MHz, 3996 MHz, 475.07 W, 38, 89 %, 0x0000000000000000
2026/09/25 01:14:37.013, 0, 2070 MHz, 3996 MHz, 478.68 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:14:37.013, 1, 2070 MHz, 3996 MHz, 470.22 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:37.013, 2, 2070 MHz, 3996 MHz, 474.20 W, 38, 99 %, 0x0000000000000000
2026/09/25 01:14:37.013, 3, 2070 MHz, 3996 MHz, 472.52 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:14:37.213, 0, 2070 MHz, 3996 MHz, 470.80 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:14:37.213, 1, 2070 MHz, 3996 MHz, 466.73 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:37.213, 2, 2070 MHz, 3996 MHz, 469.92 W, 37, 98 %, 0x0000000000000000
2026/09/25 01:14:37.213, 3, 2070 MHz, 3996 MHz, 469.13 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:37.413, 0, 2070 MHz, 3996 MHz, 460.62 W, 37, 97 %, 0x0000000000000000
2026/09/25 01:14:37.413, 1, 2070 MHz, 3996 MHz, 462.36 W, 37, 99 %, 0x0000000000000000
2026/09/25 01:14:37.413, 2, 2070 MHz, 3996 MHz, 462.79 W, 37, 99 %, 0x0000000000000000
